transaction_id,customer_id,amount,currency,payment_method,failure_reason,attempt_number,previous_success_count,previous_failure_count,average_transaction_amount,customer_lifetime_value,days_since_last_purchase,purchase_frequency,subscription_status,device_type,country,hour,day_of_week,recovery_probability,recovered,recovery_time_minutes,recovery_action
TXN000045,CUST04666,2065.92,INR,netbanking,issuer_decline,1,9,3,7146.95,88625.33,17,1.219,active,mobile,India,21,5,0.97,1,5,payment_link
TXN000046,CUST03789,25986.37,INR,card,insufficient_funds,2,12,1,6825.29,158031.54,97,1.04,active,mobile,India,12,3,0.8306,1,43,retry
TXN000047,CUST04239,1368.18,INR,card,network_error,1,6,5,3229.79,34508.83,154,0.967,active,mobile,UK,17,5,0.97,1,17,payment_link
TXN000048,CUST01267,31686.83,INR,card,bank_timeout,1,12,0,2489.5,55025.73,159,0.838,inactive,desktop,Singapore,11,5,0.8625,0,0,payment_link
TXN000049,CUST01713,48706.68,INR,card,issuer_decline,2,12,2,3978.07,61849.64,166,0.99,active,desktop,India,19,1,0.927,1,15,payment_link
TXN000050,CUST00028,8162.4,INR,card,incorrect_otp,1,6,2,1246.34,11520.47,1,0.513,active,mobile,UK,4,6,0.97,1,53,retry
TXN000051,CUST01580,10881.11,INR,upi,insufficient_funds,1,5,1,2662.85,12301.98,179,0.093,active,tablet,UK,10,5,0.6638,0,0,reminder
TXN000052,CUST03250,5724.64,INR,card,insufficient_funds,1,6,1,2773.9,18190.85,26,1.739,inactive,mobile,India,13,3,0.9203,1,35,retry
TXN000053,CUST03125,1160.95,INR,upi,insufficient_funds,1,8,6,2383.46,22046.87,89,0.663,inactive,desktop,UAE,18,3,0.5173,0,0,reminder
TXN000054,CUST01441,1921.84,INR,card,network_error,2,8,2,1180.67,13604.37,15,0.795,active,desktop,Singapore,10,4,0.97,1,41,payment_link
TXN000055,CUST03189,2827.97,INR,wallet,network_error,3,6,2,3922.4,39052.53,177,1.954,inactive,mobile,Singapore,9,6,0.8353,1,36,payment_link
TXN000056,CUST00445,14726.66,INR,upi,network_error,2,11,3,2828.21,49809.47,146,1.536,active,mobile,UAE,14,0,0.97,1,28,payment_link
TXN000057,CUST00662,3804.01,INR,upi,insufficient_funds,1,11,0,2689.47,49382.09,42,1.812,inactive,mobile,UAE,0,3,0.9192,1,11,retry
TXN000058,CUST02473,1309.71,INR,netbanking,expired_card,1,7,3,12784.16,107412.31,150,1.129,trial,mobile,India,22,1,0.6525,0,0,reminder
TXN000059,CUST04753,1474.53,INR,card,bank_timeout,1,6,1,5267.48,58077.87,16,1.019,active,mobile,Singapore,0,6,0.97,1,11,payment_link
TXN000060,CUST02497,2867.28,INR,card,issuer_decline,1,15,0,1297.85,31809.16,20,1.15,trial,mobile,UAE,21,0,0.97,1,59,payment_link
TXN000061,CUST04918,2696.9,INR,netbanking,issuer_decline,4,6,1,4723.3,52466.22,60,1.704,active,mobile,USA,22,2,0.9294,1,5,payment_link
TXN000062,CUST04738,4809.41,INR,upi,incorrect_otp,2,6,3,1784.82,10799.98,164,1.059,active,mobile,Singapore,2,6,0.8025,1,16,retry
TXN000063,CUST02646,3378.36,INR,wallet,issuer_decline,1,10,0,1128.27,17773.73,149,1.69,active,mobile,Singapore,1,3,0.9664,1,39,payment_link
TXN000064,CUST03805,6204.4,INR,card,insufficient_funds,2,10,5,1294.78,21816.01,87,1.364,active,mobile,UK,0,4,0.832,1,5,retry
TXN000065,CUST01951,4384.22,INR,card,issuer_decline,2,6,0,5986.33,55658.37,178,0.031,active,mobile,India,8,0,0.8032,1,26,payment_link
TXN000066,CUST00770,9208.11,INR,upi,expired_card,2,9,2,3454.14,48961.59,122,1.634,trial,desktop,India,14,1,0.555,0,0,reminder
TXN000067,CUST02709,998.69,INR,card,issuer_decline,2,8,2,3511.84,47539.32,3,0.602,inactive,desktop,Singapore,14,0,0.923,1,33,payment_link
TXN000068,CUST03728,6612.02,INR,netbanking,issuer_decline,1,13,5,5108.56,93139.18,132,0.777,inactive,desktop,UK,4,5,0.728,1,30,reminder
TXN000069,CUST02086,2455.34,INR,card,insufficient_funds,3,5,3,2234.39,13255.85,63,0.163,active,mobile,USA,5,4,0.3012,0,0,escalate
TXN000070,CUST04836,15955.04,INR,card,incorrect_otp,1,8,1,3687.29,58276.17,3,0.062,active,desktop,UAE,5,0,0.9519,1,17,retry
TXN000071,CUST04677,6177.99,INR,netbanking,network_error,2,7,1,1481.97,17652.56,152,0.949,active,mobile,USA,21,3,0.9629,1,36,payment_link
TXN000072,CUST00906,1821.36,INR,card,incorrect_otp,1,4,1,546.23,2658.64,127,0.481,inactive,mobile,UAE,9,1,0.5781,1,67,reminder
TXN000073,CUST02362,1452.18,INR,wallet,network_error,2,6,2,4142.27,49126.17,61,1.722,inactive,mobile,India,16,1,0.97,1,6,payment_link
TXN000074,CUST04949,196.1,INR,card,expired_card,1,7,3,3261.41,39041.59,116,1.044,active,desktop,Singapore,13,2,0.7714,0,0,retry
TXN000075,CUST02106,5256.56,INR,upi,network_error,1,7,1,9060.06,57892.91,41,1.159,inactive,desktop,USA,9,3,0.97,1,32,payment_link
TXN000076,CUST02925,2791.83,INR,wallet,network_error,1,7,5,4181.39,45707.77,4,1.994,trial,desktop,UK,4,0,0.97,1,30,payment_link
TXN000077,CUST00227,5107.59,INR,netbanking,insufficient_funds,2,10,0,2424.11,26370.65,180,1.812,inactive,mobile,UK,22,5,0.5175,0,0,reminder
TXN000078,CUST00931,6759.23,INR,card,incorrect_otp,1,3,2,2547.89,14061.78,47,0.618,active,mobile,UAE,20,5,0.9301,1,22,retry
TXN000079,CUST00393,4915.53,INR,netbanking,expired_card,1,10,1,3760.8,42724.37,176,1.418,trial,desktop,UK,8,3,0.6402,1,62,reminder
TXN000080,CUST01532,2150.05,INR,upi,insufficient_funds,1,3,2,4717.0,12415.94,8,1.756,active,mobile,UAE,16,5,0.97,1,35,retry
TXN000081,CUST01493,1836.25,INR,upi,network_error,2,10,4,9215.06,139150.78,157,1.283,inactive,mobile,Singapore,21,3,0.97,1,28,payment_link
TXN000082,CUST01186,4202.1,INR,upi,bank_timeout,1,3,2,517.36,2122.57,99,0.4,inactive,mobile,India,12,4,0.631,1,65,reminder
TXN000083,CUST01969,2043.6,INR,card,issuer_decline,1,8,0,5067.86,40471.72,168,0.849,active,tablet,UAE,12,3,0.9644,1,38,payment_link
TXN000084,CUST00988,1367.92,INR,netbanking,network_error,2,4,0,1664.69,8275.93,147,1.197,active,tablet,Singapore,18,6,0.9049,1,54,payment_link
TXN000085,CUST00202,1254.91,INR,card,expired_card,1,9,0,908.72,11312.48,45,0.805,trial,desktop,India,22,0,0.819,1,50,retry
TXN000086,CUST02659,2603.48,INR,card,insufficient_funds,3,8,1,4463.94,50496.72,156,0.867,active,desktop,India,14,3,0.515,1,23,reminder
TXN000087,CUST01443,5087.28,INR,card,network_error,1,9,0,4369.48,49591.12,155,0.426,trial,mobile,UK,17,5,0.9476,1,5,payment_link
TXN000088,CUST02170,2552.97,INR,card,bank_timeout,1,11,4,1717.37,16419.69,174,1.358,active,desktop,Singapore,18,0,0.9642,1,20,payment_link
TXN000089,CUST01135,1202.11,INR,netbanking,issuer_decline,2,10,2,2034.87,34491.7,5,1.59,active,desktop,Singapore,5,0,0.97,1,8,payment_link
TXN000090,CUST04960,3747.62,INR,upi,issuer_decline,1,15,0,1130.88,18463.75,63,1.768,active,mobile,UAE,22,1,0.97,1,39,payment_link
TXN000091,CUST03638,9391.18,INR,upi,expired_card,2,9,0,6949.93,55220.8,141,1.509,inactive,desktop,India,3,2,0.4545,1,63,reminder
TXN000092,CUST00414,1507.38,INR,card,issuer_decline,1,4,2,2140.04,11760.91,66,0.155,active,mobile,Singapore,1,6,0.965,1,10,payment_link
TXN000093,CUST01051,2273.72,INR,card,expired_card,2,5,1,2708.77,24185.5,54,0.153,inactive,mobile,Singapore,13,3,0.1787,0,0,escalate
TXN000094,CUST02308,5390.62,INR,card,insufficient_funds,1,5,1,2087.51,11809.08,38,1.792,inactive,mobile,UAE,11,0,0.827,1,36,retry
TXN000095,CUST04524,8591.37,INR,wallet,insufficient_funds,1,8,2,3314.22,30069.98,11,1.902,inactive,mobile,UAE,19,2,0.9394,1,10,retry
TXN000096,CUST01024,859.32,INR,card,issuer_decline,1,9,2,597.45,5183.05,7,0.26,inactive,tablet,Singapore,20,3,0.9404,1,34,payment_link
TXN000097,CUST03324,4078.44,INR,netbanking,incorrect_otp,1,7,3,2398.2,28032.07,153,1.927,active,desktop,Singapore,22,3,0.931,1,14,retry
TXN000098,CUST03867,1697.4,INR,card,issuer_decline,1,12,3,3278.13,38660.69,104,0.141,active,mobile,Singapore,12,6,0.9334,1,18,payment_link
TXN000099,CUST00393,4393.15,INR,upi,expired_card,1,12,4,976.91,10231.23,174,0.134,active,mobile,Singapore,8,2,0.5222,1,50,reminder
TXN000100,CUST03810,3654.82,INR,upi,network_error,1,6,1,954.87,10383.52,75,1.588,trial,mobile,India,15,3,0.9464,1,31,payment_link
TXN000101,CUST00870,4284.44,INR,card,incorrect_otp,3,11,3,3068.57,27369.52,101,0.76,inactive,desktop,UAE,23,1,0.2214,0,0,escalate
TXN000102,CUST02838,2316.72,INR,card,network_error,1,7,2,807.08,9858.81,116,0.779,inactive,mobile,India,17,0,0.8724,1,7,payment_link
TXN000103,CUST04201,3761.51,INR,card,bank_timeout,1,9,6,1882.93,19570.24,112,1.712,active,mobile,Singapore,14,2,0.9529,1,42,payment_link
TXN000104,CUST04136,2517.96,INR,card,incorrect_otp,2,7,3,7760.37,56532.01,103,0.615,active,mobile,UK,21,6,0.7964,1,52,retry
TXN000105,CUST04516,1469.59,INR,upi,bank_timeout,1,12,0,10525.07,126400.06,9,0.545,inactive,mobile,India,3,3,0.97,1,24,payment_link
TXN000106,CUST02801,1262.3,INR,upi,insufficient_funds,1,15,4,1388.26,36305.36,128,1.814,active,desktop,UK,7,5,0.952,1,22,retry
TXN000107,CUST03387,5737.59,INR,upi,incorrect_otp,1,11,3,2582.2,54603.0,114,1.667,trial,mobile,Singapore,0,0,0.9456,1,5,retry
TXN000108,CUST00140,2357.5,INR,upi,issuer_decline,2,7,4,2317.31,27594.28,148,0.563,active,mobile,India,7,1,0.7134,1,48,reminder
TXN000109,CUST04777,3784.72,INR,upi,incorrect_otp,1,6,3,2033.11,18527.98,84,0.193,inactive,desktop,UK,5,6,0.6379,1,78,reminder
TXN000110,CUST04841,2082.84,INR,upi,issuer_decline,1,6,3,1132.61,13071.59,137,0.906,trial,mobile,UAE,13,1,0.8861,1,38,payment_link
TXN000111,CUST04938,1190.74,INR,card,insufficient_funds,1,6,3,2096.28,13069.77,151,0.11,trial,mobile,India,13,4,0.3184,0,0,escalate
TXN000112,CUST04898,3404.39,INR,upi,expired_card,2,12,3,1806.18,24331.94,28,1.831,trial,mobile,UK,20,1,0.8899,1,39,retry
TXN000113,CUST02042,94891.66,INR,card,incorrect_otp,1,7,1,2872.6,33290.17,166,1.314,active,mobile,UAE,4,0,0.8436,0,0,retry
TXN000114,CUST02669,1288.38,INR,netbanking,insufficient_funds,2,6,3,4439.76,33250.9,58,1.883,trial,mobile,India,5,2,0.8107,0,0,retry
TXN000115,CUST00662,15484.38,INR,netbanking,issuer_decline,1,4,3,3210.95,21689.98,85,1.44,inactive,mobile,India,16,5,0.8438,1,13,payment_link
TXN000116,CUST02980,2821.88,INR,card,network_error,1,12,2,2353.67,54627.84,48,1.215,active,mobile,USA,16,6,0.97,1,16,payment_link
TXN000117,CUST00817,10175.06,INR,upi,insufficient_funds,3,10,3,3729.98,51518.98,139,0.161,active,desktop,UK,15,1,0.4132,1,33,escalate
TXN000118,CUST00732,5222.23,INR,upi,insufficient_funds,4,4,3,3053.04,15184.33,75,1.317,inactive,mobile,UK,1,5,0.089,0,0,escalate
TXN000119,CUST01506,10425.19,INR,netbanking,insufficient_funds,1,11,7,1446.98,21785.38,13,1.428,active,mobile,India,7,4,0.9537,1,36,retry
TXN000120,CUST02348,3112.74,INR,upi,insufficient_funds,1,10,2,6170.76,54041.56,132,0.928,trial,desktop,USA,4,3,0.7858,1,30,retry
TXN000121,CUST02582,3407.09,INR,card,bank_timeout,1,11,1,6720.91,130708.11,109,0.937,inactive,mobile,UAE,16,2,0.9399,1,43,payment_link
TXN000122,CUST04604,2003.06,INR,upi,issuer_decline,1,13,2,4878.29,121442.96,28,1.06,active,tablet,Singapore,17,3,0.97,1,32,payment_link
TXN000123,CUST01038,3422.23,INR,card,insufficient_funds,2,9,2,2256.58,32521.41,93,1.898,active,desktop,India,22,2,0.8945,1,34,retry
TXN000124,CUST02691,5786.53,INR,upi,bank_timeout,3,8,2,5255.64,63745.94,45,1.953,inactive,mobile,India,2,2,0.9157,1,30,payment_link
TXN000125,CUST01231,8269.62,INR,netbanking,network_error,1,7,1,888.09,5726.6,52,0.883,active,tablet,India,7,3,0.97,1,13,payment_link
TXN000126,CUST00904,10424.3,INR,card,network_error,2,9,0,4329.72,60035.74,10,1.016,active,desktop,Singapore,22,0,0.97,1,21,payment_link
TXN000127,CUST02154,4399.44,INR,card,issuer_decline,1,6,3,502.48,4785.42,76,0.972,inactive,mobile,UK,15,1,0.9098,1,16,payment_link
TXN000128,CUST02878,19735.57,INR,wallet,bank_timeout,2,11,4,8889.84,121785.81,6,0.755,inactive,mobile,UK,11,0,0.97,1,5,payment_link
TXN000129,CUST00308,8395.36,INR,upi,issuer_decline,1,3,4,691.65,1893.46,58,0.482,trial,tablet,UK,14,2,0.8329,1,46,payment_link
TXN000130,CUST02806,16628.72,INR,card,expired_card,4,5,2,3025.7,21203.06,128,0.079,inactive,mobile,India,11,2,0.0326,0,0,escalate
TXN000131,CUST03792,2059.39,INR,upi,issuer_decline,1,10,0,3754.3,30897.39,54,0.184,active,mobile,India,20,2,0.97,1,47,payment_link
TXN000132,CUST04070,8721.24,INR,upi,insufficient_funds,1,9,2,1048.81,18784.52,97,1.872,active,mobile,Singapore,5,3,0.9292,1,16,retry
TXN000133,CUST03359,3964.8,INR,card,insufficient_funds,2,7,2,367.31,3298.52,95,0.72,inactive,mobile,India,21,0,0.1468,0,0,escalate
TXN000134,CUST04948,3932.33,INR,netbanking,network_error,2,7,3,4360.91,54494.98,104,1.317,trial,mobile,India,19,0,0.9205,1,38,payment_link
TXN000135,CUST03309,1780.2,INR,card,issuer_decline,1,13,1,1828.93,23138.2,31,0.115,inactive,mobile,UAE,14,0,0.9355,1,5,payment_link
TXN000136,CUST04501,10184.83,INR,upi,network_error,3,6,2,3500.22,36001.73,13,0.924,active,tablet,UAE,21,1,0.9532,1,16,payment_link
TXN000137,CUST03077,3768.53,INR,card,issuer_decline,2,8,2,3970.37,27193.64,152,1.228,active,mobile,India,2,3,0.9083,1,44,payment_link
TXN000138,CUST04559,13181.87,INR,card,network_error,1,6,3,3490.1,32579.07,30,1.507,active,desktop,UAE,6,3,0.97,1,26,payment_link
TXN000139,CUST02398,7729.71,INR,upi,bank_timeout,1,9,1,8564.18,93646.79,35,1.894,active,desktop,UK,12,2,0.97,1,5,payment_link
TXN000140,CUST00841,928.22,INR,card,expired_card,1,8,1,1349.02,11661.74,11,1.662,trial,mobile,India,1,3,0.9674,1,20,retry
TXN000141,CUST04579,3548.14,INR,card,expired_card,1,7,3,1917.63,17602.73,43,1.613,active,mobile,UAE,7,4,0.9209,1,5,retry
TXN000142,CUST03735,8581.21,INR,card,incorrect_otp,1,9,1,1328.69,19320.12,100,1.174,active,desktop,UK,21,4,0.9132,1,7,retry
TXN000143,CUST04937,1219.95,INR,card,insufficient_funds,1,10,4,5569.54,102441.77,83,1.97,inactive,mobile,USA,1,1,0.97,1,39,retry
TXN000144,CUST00245,4490.47,INR,card,issuer_decline,1,7,4,2070.89,28363.15,12,0.312,trial,tablet,India,15,1,0.917,1,5,payment_link
TXN000145,CUST04874,2155.01,INR,upi,issuer_decline,2,6,2,2575.21,20989.06,10,0.172,active,mobile,Singapore,1,0,0.9698,1,21,payment_link
TXN000146,CUST01410,21792.32,INR,upi,bank_timeout,1,7,2,1482.71,14847.78,80,1.989,inactive,mobile,UAE,3,3,0.97,1,9,payment_link
TXN000147,CUST02709,1786.08,INR,upi,expired_card,1,7,2,8730.73,106082.69,79,1.783,active,mobile,Singapore,18,5,0.97,1,39,retry
TXN000148,CUST02339,4164.27,INR,netbanking,insufficient_funds,2,7,3,754.54,7245.3,129,0.811,inactive,desktop,UAE,15,2,0.0937,0,0,escalate
TXN000149,CUST02757,20579.47,INR,upi,incorrect_otp,3,5,3,4875.69,23175.61,42,1.052,active,mobile,UAE,8,3,0.764,0,0,retry
TXN000150,CUST04063,5798.45,INR,card,network_error,1,9,1,6048.05,65578.22,51,1.824,active,mobile,India,12,0,0.97,1,31,payment_link
TXN000151,CUST00366,4387.38,INR,card,issuer_decline,1,7,0,1503.29,9859.74,93,1.747,active,tablet,USA,14,4,0.97,1,14,payment_link
TXN000152,CUST03159,4349.21,INR,card,incorrect_otp,1,6,1,3216.23,31605.98,4,1.109,inactive,desktop,UK,7,4,0.9582,1,27,retry
TXN000153,CUST01870,566.92,INR,card,network_error,3,9,3,4523.55,48354.38,90,1.942,active,desktop,UK,4,1,0.9591,1,26,payment_link
TXN000154,CUST02081,5841.03,INR,card,incorrect_otp,2,5,1,2632.81,22412.51,161,1.672,active,mobile,UK,17,3,0.8873,1,32,retry
TXN000155,CUST03244,14538.16,INR,wallet,insufficient_funds,1,4,0,2238.63,15970.67,42,0.574,inactive,mobile,USA,14,6,0.5906,1,46,reminder
TXN000156,CUST02396,2407.6,INR,card,expired_card,1,6,0,6240.91,74647.46,9,1.12,trial,mobile,USA,8,5,0.97,1,16,retry
TXN000157,CUST01515,4154.42,INR,upi,insufficient_funds,1,9,1,5878.98,53114.37,92,1.287,active,mobile,Singapore,0,3,0.9104,1,50,retry
TXN000158,CUST03504,7079.28,INR,card,insufficient_funds,1,5,4,6876.51,67181.4,45,0.457,active,mobile,UK,17,3,0.8183,1,60,retry
TXN000159,CUST02963,634.2,INR,upi,network_error,1,11,3,873.18,11174.39,87,0.973,active,mobile,UK,17,6,0.9645,1,6,payment_link
TXN000160,CUST01883,6456.36,INR,upi,issuer_decline,2,7,3,2054.9,21852.04,169,0.374,active,mobile,UK,5,5,0.7104,1,52,reminder
TXN000161,CUST01379,4117.82,INR,card,network_error,2,6,2,4062.1,28147.84,73,1.149,active,mobile,Singapore,7,6,0.97,1,52,payment_link
TXN000162,CUST02069,925.99,INR,card,expired_card,1,5,1,7599.55,66814.75,132,0.539,active,mobile,UAE,22,4,0.7659,1,57,retry
TXN000163,CUST02573,11457.97,INR,card,incorrect_otp,1,4,0,2264.34,11121.4,73,1.522,active,mobile,UAE,22,4,0.9471,1,34,retry
TXN000164,CUST00799,7590.38,INR,wallet,issuer_decline,1,10,1,3218.23,40043.75,35,1.694,active,tablet,UK,16,0,0.97,1,34,payment_link
TXN000165,CUST03794,2004.22,INR,card,incorrect_otp,3,12,3,2723.77,52125.65,59,1.626,trial,mobile,UK,6,0,0.9225,0,0,retry
TXN000166,CUST02717,8480.51,INR,card,bank_timeout,1,8,3,6673.19,95797.69,3,1.422,active,desktop,UAE,16,3,0.97,1,27,payment_link
TXN000167,CUST04814,2177.47,INR,card,bank_timeout,1,9,1,2576.44,23325.13,82,0.887,trial,mobile,UAE,5,5,0.97,1,13,payment_link
TXN000168,CUST04436,14754.2,INR,card,bank_timeout,2,11,1,2281.63,26693.2,9,1.112,active,mobile,USA,22,4,0.97,1,24,payment_link
TXN000169,CUST00216,1255.31,INR,card,incorrect_otp,2,8,5,1709.66,21964.42,30,1.558,active,tablet,USA,9,6,0.959,1,35,retry
TXN000170,CUST03889,1372.84,INR,card,insufficient_funds,1,3,1,7423.87,24059.59,175,0.378,active,mobile,Singapore,2,5,0.6649,0,0,reminder
TXN000171,CUST03485,2693.61,INR,upi,insufficient_funds,2,10,1,2794.37,47097.89,16,0.346,trial,mobile,Singapore,0,3,0.7579,0,0,retry
TXN000172,CUST03961,3972.51,INR,netbanking,bank_timeout,2,9,2,17028.14,156801.66,23,0.555,trial,tablet,USA,0,6,0.97,1,29,payment_link
TXN000173,CUST03141,5450.53,INR,card,bank_timeout,1,10,1,2029.3,31713.38,103,1.242,inactive,desktop,UAE,16,0,0.9085,1,16,payment_link
TXN000174,CUST04152,7747.45,INR,netbanking,incorrect_otp,1,7,3,17209.76,108961.84,41,0.17,active,mobile,India,23,4,0.951,1,40,retry
TXN000175,CUST03721,1670.8,INR,upi,expired_card,2,7,2,2390.92,13466.22,148,1.17,inactive,mobile,UAE,14,2,0.1934,0,0,escalate
